docket_number|citation|citation_type|pin_cite|context
24-2088|35 U.S.C. § 315(e)(2)|US Code||IPR estoppel — controlling statute
24-2088|35 U.S.C. § 315(e)(1)|US Code||IPR estoppel as to subsequent Board proceedings
24-2088|28 U.S.C. § 1295(a)(1)|US Code||Federal Circuit jurisdiction
24-2088|Fed. R. Civ. P. 54(b)|Federal Rule||Partial final judgment
24-2088|Ironburg Inventions Ltd. v. Valve Corp.|Case decision|64 F.4th 1274 (Fed. Cir. 2023)|Ironburg I; patentee bears burden
24-2088|Ingenico Inc. v. IOENGINE LLC|Case decision|136 F.4th 1354 (Fed. Cir. 2025)|Ground vs reference distinction (n.5)
24-2088|Palomar Techs. Inc. v. MRSI Sys. LLC|Case decision|2020 WL 2115625 (D. Mass.)|"Read interpret understand" discovery standard
24-2088|Clearlamp LLC v. LKQ Corp.|Case decision|2016 WL 4734389 (N.D. Ill.)|Search-string-and-source method
24-2088|Panduit Corp. v. Dennison Mfg. Co.|Case decision|810 F.2d 1561 (Fed. Cir. 1987)|No further fact-finding when evidence insufficient
24-2088|SAS Institute Inc. v. Iancu|Case decision|584 U.S. 357 (2018)|IPR partial institution context
24-2088|Intuitive Surgical Inc. v. Ethicon LLC|Case decision|25 F.4th 1035 (Fed. Cir. 2022)|Prior skilled-searcher appeal
24-2088|GeigTech E. Bay LLC v. Lutron Elecs. Co.|Case decision|2023 WL 8827572 (S.D.N.Y.)|District court guidance on skilled searcher
24-2088|EIS Inc. v. IntiHealth Ger GmbH|Case decision|2023 WL 6797905 (D. Del.)|Skilled searcher standard
24-2088|U.S. Patent No. 8 641 525|Patent||Patent in suit (the '525 patent)
24-2088|U.S. Patent No. 6 362 813|Patent||Wörn — prior art
24-2088|U.S. Published Patent Application No. 2010/0298053|Patent application||Kotkin — disputed prior art
24-2088|U.S. Patent No. 6 760 013|Patent||Willner — prior art on face of '525 patent
24-2088|Japanese Patent Application No. JP-A H10-020951|Foreign patent||Koji — disputed prior art
24-2088|U.S. Patent No. 5 773 769|Patent||Raymond — disputed prior art
24-2088|U.S. Patent No. D983 269 S|Patent||Ironburg design patent (2023) — hindsight concern
24-1600|35 U.S.C. § 314(d)|US Code||Institution non-appealability — controlling statute
24-1600|35 U.S.C. § 315(b)|US Code||IPR petition timeliness (Thryv context)
24-1600|35 U.S.C. § 315(e)|US Code||IPR estoppel (Sotera context)
24-1600|35 U.S.C. § 312(a)(2)|US Code||Real party in interest (Federal Express context)
24-1600|28 U.S.C. § 1295(a)(4)(A)|US Code||Federal Circuit jurisdiction over PTAB appeals
24-1600|Cuozzo Speed Techs. LLC v. Lee|Case decision|579 U.S. 261 (2016)|§ 314(d) scope foundation
24-1600|Thryv Inc. v. Click-To-Call Techs. LP|Case decision|590 U.S. 45 (2020)|Substance-over-form for § 314(d)
24-1600|Federal Express Corp. v. Qualcomm Inc.|Case decision|174 F.4th 910 (Fed. Cir. 2026)|Directly controlling
24-1600|Ethanol Boosting Sys. LLC v. Ford Motor Co.|Case decision|162 F.4th 1151 (Fed. Cir. 2025)|"Different agency action" insufficient
24-1600|IGT v. Zynga Inc.|Case decision|144 F.4th 1357 (Fed. Cir. 2025)|"Institution as direct immediate express subject" test
24-1600|Apple Inc. v. Vidal|Case decision|63 F.4th 1 (Fed. Cir. 2023)|§ 314(d) scope
24-1600|Uniloc 2017 LLC v. Facebook Inc.|Case decision|989 F.3d 1018 (Fed. Cir. 2021)|Distinguished
24-1600|Facebook Inc. v. Windy City Innovations LLC|Case decision|973 F.3d 1321 (Fed. Cir. 2020)|Distinguished
24-1600|Atlanta Gas Light Co. v. Bennett Regul. Guards Inc.|Case decision|33 F.4th 1348 (Fed. Cir. 2022)|Pure sanctions exception
24-1600|Sotera Wireless Inc. v. Masimo Corp.|Internal Board decision|IPR2020-01019 Paper 12 (PTAB Dec. 1 2020)|Sotera stipulation foundation
24-1600|Prima Tek II LLC v. Polypap S.A.R.L.|Case decision|318 F.3d 1143 (Fed. Cir. 2003)|Claim construction starts with claim words
24-1600|Baxalta Inc. v. Genentech Inc.|Case decision|972 F.3d 1341 (Fed. Cir. 2020)|Construction inconsistent with plain language incorrect
24-1600|CRFD Rsch. Inc. v. Matal|Case decision|876 F.3d 1330 (Fed. Cir. 2017)|Standard of review
24-1600|Volvo Penta of the Ams. LLC v. Brunswick Corp.|Case decision|81 F.4th 1202 (Fed. Cir. 2023)|Secondary considerations nexus
24-1600|In re GPAC Inc.|Case decision|57 F.3d 1573 (Fed. Cir. 1995)|Nexus requirement
24-1600|Pentec Inc. v. Graphic Controls Corp.|Case decision|776 F.2d 309 (Fed. Cir. 1985)|Secondary considerations must be considered
24-1600|Kansas Jack Inc. v. Kuhn|Case decision|719 F.2d 1144 (Fed. Cir. 1983)|Commercial success requires nexus
24-1600|Netflix Inc. v. DivX LLC|Case decision|84 F.4th 1371 (Fed. Cir. 2023)|Forfeiture rule
24-1600|Consol. Edison Co. of N.Y. v. NLRB|Case decision|305 U.S. 197 (1938)|Substantial evidence standard
24-1600|Consolo v. Fed. Mar. Comm'n|Case decision|383 U.S. 607 (1966)|Substantial evidence standard
24-1600|Apple Inc. v. Uniloc 2017 LLC|Case decision|843 F. App'x 281 (Fed. Cir. 2021)|Fact vs claim construction
24-1600|U.S. Patent No. 10 325 122|Patent||'122 patent — representative
24-1600|U.S. Patent No. 10 789 393|Patent||'393 patent
24-1600|U.S. Patent No. 9 892 287|Patent||'287 patent
24-1600|U.S. Pat. Pub. No. 2003/0122864 A1|Patent application||Jenne — prior art
24-1600|European Pat. App. No. 687968 A2|Foreign patent||Cohen — prior art
24-2316|19 U.S.C. § 1307|US Code||Tariff Act § 307 — controlling statute
24-2316|19 U.S.C. § 2071|US Code||Treasury delegation to Customs
24-2316|19 C.F.R. § 12.42|CFR||Customs petition and investigation regulation
24-2316|5 U.S.C. § 701 et seq.|US Code||APA
24-2316|28 U.S.C. § 1295(a)(5)|US Code||Federal Circuit jurisdiction over CIT
24-2316|U.S. Const. art. III|Constitution||Case-or-controversy / standing
24-2316|Lujan v. Defenders of Wildlife|Case decision|504 U.S. 555 (1992)|Standing three-element test
24-2316|Havens Realty Corp. v. Coleman|Case decision|455 U.S. 363 (1982)|Organizational standing foundation
24-2316|Food & Drug Admin. v. Alliance for Hippocratic Med.|Case decision|602 U.S. 367 (2024)|Narrows Havens
24-2316|Abigail Alliance for Better Access to Developmental Drugs v. Eschenbach|Case decision|469 F.3d 129 (D.C. Cir. 2006)|Pleading-stage standing for diverted resources
24-2316|Valley Forge Christian Coll. v. Ams. United|Case decision|454 U.S. 464 (1982)|Abstract social policy insufficient
24-2316|Warth v. Seldin|Case decision|422 U.S. 490 (1975)|Personal stake requirement
24-2316|Sierra Club v. Morton|Case decision|405 U.S. 727 (1972)|Abstract interests insufficient
24-2316|Mil.-Veterans Advoc. v. Sec'y of Veterans Affs.|Case decision|7 F.4th 1110 (Fed. Cir. 2021)|Same requirements for organizations
24-2316|US Inventor Inc. v. U.S. Pat. & Trademark Off.|Case decision|156 F.4th 1306 (Fed. Cir. 2025)|Procedural-rights standing
24-2316|Consumer Watchdog v. Wis. Alumni Rsch. Found.|Case decision|753 F.3d 1258 (Fed. Cir. 2014)|Denial of administrative action insufficient
24-2316|Gettman v. Drug Enf't Admin.|Case decision|290 F.3d 430 (D.C. Cir. 2002)|Right to petition does not confer standing
24-2316|Fund Democracy LLC v. SEC|Case decision|278 F.3d 21 (D.C. Cir. 2002)|Concrete interest apart from procedural injury
24-2316|Rimco Inc. v. United States|Case decision|98 F.4th 1046 (Fed. Cir. 2024)|De novo jurisdictional dismissal review
24-2316|Hutchison Quality Furniture Inc. v. United States|Case decision|827 F.3d 1355 (Fed. Cir. 2016)|Review standard
24-2316|Norsk Hydro Can. Inc. v. United States|Case decision|472 F.3d 1347 (Fed. Cir. 2006)|Burden on jurisdiction-invoker
24-2316|In re Google Tech. Holdings LLC|Case decision|980 F.3d 858 (Fed. Cir. 2020)|Forfeiture
25-1045|35 U.S.C. § 101|US Code||Patent-eligible subject matter — controlling statute
25-1045|35 U.S.C. § 286|US Code||Six-year damages limitations
25-1045|U.S. Const. amend. VII|Constitution||Civil jury trial / unanimity
25-1045|28 U.S.C. § 1295(a)(1)|US Code||Federal Circuit jurisdiction
25-1045|Alice Corp. Pty. Ltd. v. CLS Bank Int'l|Case decision|573 U.S. 208 (2014)|§ 101 two-step framework
25-1045|Mayo Collaborative Servs. v. Prometheus Lab'ys Inc.|Case decision|566 U.S. 66 (2012)|§ 101 inquiry foundation
25-1045|Ass'n for Molecular Pathology v. Myriad Genetics Inc.|Case decision|569 U.S. 576 (2013)|§ 101 exclusion rationale
25-1045|Andres v. United States|Case decision|333 U.S. 740 (1948)|Seventh Amendment unanimity
25-1045|Optis Cellular Tech. LLC v. Apple Inc.|Case decision|139 F.4th 1363 (Fed. Cir. 2025)|Directly controlling on verdict-form issue
25-1045|BSG Tech LLC v. Buyseasons Inc.|Case decision|899 F.3d 1281 (Fed. Cir. 2018)|Abstract idea cannot supply inventive concept
25-1045|Trading Techs. Int'l Inc. v. IBG LLC|Case decision|921 F.3d 1378 (Fed. Cir. 2019)|Same
25-1045|ChargePoint Inc. v. SemaConnect Inc.|Case decision|920 F.3d 759 (Fed. Cir. 2019)|Claims mirroring abstract idea
25-1045|Bascom Glob. Internet Servs. Inc. v. AT&T Mobility LLC|Case decision|827 F.3d 1341 (Fed. Cir. 2016)|Specific implementation as inventive concept
25-1045|Aatrix Software Inc. v. Green Shades Software Inc.|Case decision|882 F.3d 1121 (Fed. Cir. 2018)|Step-two MTD practice
25-1045|Coop. Ent. Inc. v. Kollective Tech. Inc.|Case decision|50 F.4th 127 (Fed. Cir. 2022)|Same
25-1045|Amdocs (Israel) Ltd. v. Openet Telecom Inc.|Case decision|841 F.3d 1288 (Fed. Cir. 2016)|Architecture as inventive concept
25-1045|CosmoKey Solutions GmbH & Co. KG v. Duo Security LLC|Case decision|15 F.4th 1091 (Fed. Cir. 2021)|Step-two after step-one
25-1045|DDR Holdings LLC v. Hotels.com L.P.|Case decision|773 F.3d 1245 (Fed. Cir. 2014)|Multiple characterizations of abstract idea
25-1045|AI Visualize Inc. v. Nuance Commc'ns Inc.|Case decision|97 F.4th 1371 (Fed. Cir. 2024)|Step-two as legal question
25-1045|Sanderling Mgmt. Ltd. v. Snap Inc.|Case decision|65 F.4th 698 (Fed. Cir. 2023)|Inventive concept threshold
25-1045|Uniloc USA Inc. v. LG Elecs. USA Inc.|Case decision|957 F.3d 1303 (Fed. Cir. 2020)|Communication-protocol claims eligible
25-1045|Packet Intel. LLC v. NetScout Sys. Inc.|Case decision|965 F.3d 1299 (Fed. Cir. 2020)|Technological solution test
25-1045|Enfish LLC v. Microsoft Corp.|Case decision|822 F.3d 1327 (Fed. Cir. 2016)|Tether characterization to claims
25-1045|Interval Licensing LLC v. AOL Inc.|Case decision|896 F.3d 1335 (Fed. Cir. 2018)|De novo eligibility review
25-1045|Electric Power Group LLC v. Alstom S.A.|Case decision|830 F.3d 1350 (Fed. Cir. 2016)|Distinguished
25-1045|Chamberlain Group Inc. v. Techtronic Industries Co.|Case decision|935 F.3d 1341 (Fed. Cir. 2019)|Distinguished
25-1045|Affinity Labs of Texas LLC v. DIRECTV LLC|Case decision|838 F.3d 1253 (Fed. Cir. 2016)|Distinguished
25-1045|CardioNet LLC v. InfoBionic Inc.|Case decision|955 F.3d 1358 (Fed. Cir. 2020)|Avoid claim oversimplification
25-1045|Synopsys Inc. v. Mentor Graphics Corp.|Case decision|839 F.3d 1138 (Fed. Cir. 2016)|Focus on claim language
25-1045|Trinity Info Media LLC v. Covalent Inc.|Case decision|72 F.4th 1355 (Fed. Cir. 2023)|Distinguished — predetermined threshold and matching
25-1045|Data Engine Techs. LLC v. Google LLC|Case decision|906 F.3d 999 (Fed. Cir. 2018)|Real-world analogy not enough
25-1045|Lighting Ballast Control LLC v. Philips Elecs. N. Am. Corp.|Case decision|790 F.3d 1329 (Fed. Cir. 2015)|JMOL standard
25-1045|Eko Brands LLC v. Adrian Rivera Maynez Enters. Inc.|Case decision|946 F.3d 1367 (Fed. Cir. 2020)|Jury instruction review
25-1045|Montano v. Orange Cnty.|Case decision|842 F.3d 865 (5th Cir. 2016)|JMOL standard (Fifth Circuit)
25-1045|LaserDynamics Inc. v. Quanta Comput. Inc.|Case decision|694 F.3d 51 (Fed. Cir. 2012)|Preservation
25-1045|Garriott v. NCsoft Corp.|Case decision|661 F.3d 243 (5th Cir. 2011)|Preservation
25-1045|R.R. Dynamics Inc. v. A. Stucki Co.|Case decision|727 F.2d 1506 (Fed. Cir. 1984)|Regional circuit law on non-patent issues
25-1045|Infernal Technology LLC v. Sony Interactive Entertainment LLC|Case decision|2024 WL 390881 (Fed. Cir.)|Non-precedential — distinguished
25-1045|U.S. Patent No. 7 860 495|Patent||'495 patent
25-1045|U.S. Patent No. 8 264 371|Patent||'371 patent
25-1045|U.S. Patent No. 7 746 887|Patent||'887 patent
25-1045|U.S. Patent No. 8 224 282|Patent||'282 patent (invalidated by jury)
26-1575|Fed. Cir. R. 35|Federal Rule||En banc hearing procedure (inferred not quoted)
26-1575|Fed. R. App. P. 35|Federal Rule||En banc hearing procedure (inferred not quoted)
26-1575|5 U.S.C. ch. 75|US Code||Federal employee adverse action jurisdiction (inferred from MSPB docket numbers)
